"Parser","Nb_Copies","Temps_Moyen","Temps_Median","Ecart_Type","Temps_Min","Temps_Max"
"default_parser",17,14.6058823529412,14,3.0814912356348,10.3,19.8
"qrcode_empty_parser",8,15,14.75,2.26021490760756,11,18.6
"shape_parser",15,15.18,14.6,3.14397382759008,10.7,19.4
"circle_parser",20,15.21,15.15,2.74377764942309,10.2,19.8
"custom_marker_parser",17,15.4941176470588,16.5,3.2774743683657,11,19.7
"qrcode_parser",9,16.1777777777778,16,2.09151725894013,12.2,19.3
"aruco_parser",14,16.1857142857143,17.3,2.81503030257147,11.6,19.2
