"Parser","Nb_Copies","Temps_Moyen","Temps_Median","Ecart_Type","Temps_Min","Temps_Max"
"shape_parser",15,23.7668,24.037,7.2164070521872,13.585,33.468
"circle_parser",12,30.7503333333333,29.931,9.83886857254831,16.626,45.01
"default_parser",13,31.8307692307692,31.775,7.94392851127877,19.778,42.41
"aruco_parser",15,32.4868,31.996,6.52771525551957,23.723,42.487
"",13,38.2161538461538,43.72,13.0746730605788,16.3,57.15
"custom_marker_parser",11,43.9008181818182,44.517,11.6801307853823,27.899,58.171
"qrcode_empty_parser",12,48.5375833333333,49.1365,15.5577475610785,26.876,68.389
"qrcode_parser",14,49.4342857142857,49.6555,14.7279495122425,29.812,69.306
